SampleID,SubjectID,TaxonLabel,Proportion
BM.Day1.RTx3d,Subject 1,Bacteroidetes Prevotella,0.007390300230946882
BM.Day1.RTx3d,Subject 1,Firmicutes Gemellaceae,0.05975750577367205
BM.Day1.RTx3d,Subject 1,Firmicutes Granulicatella,0.018071593533487296
BM.Day1.RTx3d,Subject 1,Firmicutes Streptococcus,0.79364896073903
BM.Day1.RTx3d,Subject 1,Firmicutes Veillonella,0.00894919168591224
BM.Day1.RTx3d,Subject 1,Fusobacteria Fusobacterium,0.008371824480369515
BM.Day1.RTx3d,Subject 1,Fusobacteria Leptotrichia,0.009468822170900693
BM.Day1.RTx3d,Subject 1,Proteobacteria Haemophilus,0.005080831408775982
BM.Day1.RTx3d,Subject 1,Proteobacteria Neisseria,0.012702078521939953
BM.Day1.RTx3d,Subject 1,Other,0.04930715935334873
BM.Day10.Fresh,Subject 1,Actinobacteria Actinomyces,0.0028624003271314658
BM.Day10.Fresh,Subject 1,Actinobacteria Rothia,0.01125974822560388
BM.Day10.Fresh,Subject 1,Bacteroidetes Porphyromonas,0.008003037649326751
BM.Day10.Fresh,Subject 1,Bacteroidetes Prevotella,0.0042205800741887435
BM.Day10.Fresh,Subject 1,Firmicutes Gemellaceae,0.07802961708093582
BM.Day10.Fresh,Subject 1,Firmicutes Granulicatella,0.008528784648187633
BM.Day10.Fresh,Subject 1,Firmicutes Streptococcus,0.7742062680725531
BM.Day10.Fresh,Subject 1,Firmicutes Veillonella,0.008981511230540059
BM.Day10.Fresh,Subject 1,Fusobacteria Fusobacterium,0.010909250226363292
BM.Day10.Fresh,Subject 1,Fusobacteria Leptotrichia,0.010310482810993954
BM.Day10.Fresh,Subject 1,Proteobacteria Haemophilus,0.0055933639045477115
BM.Day10.Fresh,Subject 1,Proteobacteria Neisseria,0.03989835558022023
BM.Day10.Fresh,Subject 1,Other,0.037196600169407366
BM.Day2.4x2d,Subject 1,Actinobacteria Actinomyces,0.030215563267485316
BM.Day2.4x2d,Subject 1,Actinobacteria Rothia,0.01309730379071009
BM.Day2.4x2d,Subject 1,Bacteroidetes Porphyromonas,0.045798852108916176
BM.Day2.4x2d,Subject 1,Bacteroidetes Prevotella,0.02502669514148425
BM.Day2.4x2d,Subject 1,Firmicutes Gemellaceae,0.05235584623598505
BM.Day2.4x2d,Subject 1,Firmicutes Granulicatella,0.019787773625200213
BM.Day2.4x2d,Subject 1,Firmicutes Streptococcus,0.3890816871329418
BM.Day2.4x2d,Subject 1,Firmicutes Veillonella,0.07931793913507741
BM.Day2.4x2d,Subject 1,Fusobacteria Fusobacterium,0.05390750133475707
BM.Day2.4x2d,Subject 1,Fusobacteria Leptotrichia,0.05167178323545115
BM.Day2.4x2d,Subject 1,Proteobacteria Haemophilus,0.0013514415376401495
BM.Day2.4x2d,Subject 1,Proteobacteria Neisseria,0.03550453817405232
BM.Day2.4x2d,Subject 1,Other,0.20288307528029897
BM.Day2.icex1d,Subject 1,Actinobacteria Actinomyces,0.015221707478491065
BM.Day2.icex1d,Subject 1,Actinobacteria Rothia,0.016450789448804008
BM.Day2.icex1d,Subject 1,Bacteroidetes Porphyromonas,0.0242664901831017
BM.Day2.icex1d,Subject 1,Bacteroidetes Prevotella,0.03160946708266364
BM.Day2.icex1d,Subject 1,Firmicutes Gemellaceae,0.03195613122813652
BM.Day2.icex1d,Subject 1,Firmicutes Granulicatella,0.02360467681447165
BM.Day2.icex1d,Subject 1,Firmicutes Streptococcus,0.4472912924269642
BM.Day2.icex1d,Subject 1,Firmicutes Veillonella,0.10116290063344995
BM.Day2.icex1d,Subject 1,Fusobacteria Fusobacterium,0.041095458699694304
BM.Day2.icex1d,Subject 1,Fusobacteria Leptotrichia,0.035170653304339605
BM.Day2.icex1d,Subject 1,Proteobacteria Haemophilus,0.020453184582900002
BM.Day2.icex1d,Subject 1,Proteobacteria Neisseria,0.08238000693328291
BM.Day2.icex1d,Subject 1,Other,0.1293372411837005
